request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
320,302000,1200,80276,2.071022,544.9,4.1
320,302000,1201,77268,2.002,308.2,3.8
320,302000,1202,78208,2.001989,220.5,3.9
320,302000,1203,78020,2.0103,217.9,3.7
320,302000,1204,77832,2.001989,104.1,3.4
320,302000,1205,78772,2.002,218.1,3.9
320,302000,1206,78396,2.002,108.5,3.7
320,302000,1207,78396,2.001989,219.0,3.9
320,302000,1208,77456,2.001989,111.3,3.8
320,302000,1209,77456,2.001989,111.5,3.1
320,302000,1210,79336,2.001989,220.9,3.2
320,302000,1211,77080,2.002,106.3,4.2
320,302000,1212,79900,2.002,111.2,3.3
320,302000,1213,78020,2.022277,210.7,4.2
320,302000,1214,78208,2.001989,111.5,4.1
320,302000,1215,81028,2.001989,111.6,3.7
320,302000,1216,75764,2.002,212.7,3.6
320,302000,1217,64484,2.002,221.7,3.1
320,302000,1218,73320,2.002,111.4,3.4
320,302000,1219,79524,2.001989,108.6,4.1
320,302000,1220,79900,1.960289,221.3,3.7
320,302000,1221,74260,2.002,105.4,3.8
320,302000,1222,68056,2.002,212.2,3.8
320,302000,1223,76140,2.011966,109.8,3.6
320,302000,1224,81592,2.001989,210.0,3.4
320,302000,1225,80652,2.018633,111.9,3.5
320,302000,1226,69936,2.002,221.3,3.3
320,302000,1227,69936,2.002,104.7,3.7
320,302000,1228,78396,2.001989,221.6,3.9
320,302000,1229,78208,2.001989,102.2,4.3
320,302000,1230,78960,2.001989,221.8,6.0
320,302000,1231,79148,2.002,111.6,3.4
320,302000,1232,77456,2.020622,105.3,13.1
320,302000,1233,80276,2.002,214.3,3.6
320,302000,1234,80464,2.001989,207.6,5.0
320,302000,1235,76140,2.001989,107.1,3.5
320,302000,1236,77456,2.001989,212.9,3.8
320,302000,1237,73884,2.002,111.3,3.7
320,302000,1238,74636,2.019277,207.8,4.5
320,302000,1239,76704,2.001989,102.4,3.9
720,425000,1200,103024,2.071022,542.8,3.9
720,425000,1201,101144,2.002,105.4,5.8
720,425000,1202,101896,2.006967,112.0,3.2
720,425000,1203,100956,2.001989,221.7,3.1
720,425000,1204,100392,2.001989,111.7,3.6
720,425000,1205,101896,2.002,205.6,3.7
720,425000,1206,101144,2.002,106.2,3.7
720,425000,1207,102272,2.001989,110.5,3.6
720,425000,1208,99828,2.001989,208.3,3.5
720,425000,1209,101896,2.001989,102.8,4.1
720,425000,1210,101708,2.012289,219.5,4.0
720,425000,1211,101144,2.002,111.4,4.0
720,425000,1212,101896,2.002,111.5,4.0
720,425000,1213,100768,2.001989,216.0,3.1
720,425000,1214,100392,2.001989,102.0,3.8
720,425000,1215,105468,2.001989,221.2,3.6
720,425000,1216,97008,2.002,103.3,3.6
720,425000,1217,84600,2.002,104.4,3.6
720,425000,1218,99076,2.002,206.4,4.0
720,425000,1219,102648,2.001989,102.7,3.6
720,425000,1220,103212,1.960289,205.1,3.7
720,425000,1221,96256,2.002,111.4,3.2
720,425000,1222,96256,2.008644,211.8,3.6
720,425000,1223,103964,2.001989,111.2,3.3
720,425000,1224,103964,2.001989,214.1,3.4
720,425000,1225,102836,2.001989,112.0,4.1
720,425000,1226,94940,2.002,111.3,3.7
720,425000,1227,99828,2.002,221.3,3.5
720,425000,1228,101896,2.001989,103.2,3.8
720,425000,1229,102084,2.001989,213.3,3.6
720,425000,1230,101520,2.001989,109.7,3.6
720,425000,1231,103024,2.002,209.1,3.7
720,425000,1232,98888,2.002,111.7,3.6
720,425000,1233,102460,2.002,221.6,3.3
720,425000,1234,104904,2.001989,110.8,3.7
720,425000,1235,96068,2.001989,214.1,3.4
720,425000,1236,100768,2.001989,104.0,3.9
720,425000,1237,96256,2.002,111.4,3.6
720,425000,1238,99076,2.002,205.9,2.3
720,425000,1239,100580,2.001989,105.8,2.6
4000,3493000,1200,686576,2.071022,655.2,3.1
4000,3493000,1201,683004,2.003645,217.2,4.3
4000,3493000,1202,680748,2.001989,214.4,2.6
4000,3493000,1203,678492,2.001989,318.1,2.1
4000,3493000,1204,678680,2.001989,222.8,2.7
4000,3493000,1205,683380,2.002,213.8,2.6
4000,3493000,1206,679056,2.002,317.8,3.0
4000,3493000,1207,681312,2.002289,214.2,2.5
4000,3493000,1208,679432,2.001989,316.9,3.1
4000,3493000,1209,685260,2.001989,221.8,2.9
4000,3493000,1210,682252,2.001989,210.4,2.8
4000,3493000,1211,678680,2.002,326.5,2.6
4000,3493000,1212,686200,2.002,213.5,2.6
4000,3493000,1213,684320,2.001989,216.5,2.5
4000,3493000,1214,680184,2.004277,315.4,2.7
4000,3493000,1215,683568,2.001989,218.4,2.6
4000,3493000,1216,654240,2.010944,215.1,3.8
4000,3493000,1217,686952,2.002,332.0,2.8
4000,3493000,1218,692592,2.002,221.3,3.4
4000,3493000,1219,690148,2.001989,215.1,2.9
4000,3493000,1220,685824,1.960289,323.4,2.8
