request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
320,302000,300,82156,2.044,552.9,4.5
320,302000,301,81592,2.0,326.9,8.5
320,302000,302,75388,2.0,317.1,6.4
320,302000,303,79524,2.02,333.1,6.6
320,302000,304,87984,2.0,328.8,5.7
320,302000,305,67680,2.0,324.5,6.1
320,302000,306,81028,2.014666,333.1,6.4
320,302000,307,77644,2.0,320.9,6.4
320,302000,308,78960,2.0,322.9,6.2
320,302000,309,77644,2.009333,330.2,6.6
320,302000,310,77268,2.0,322.9,6.4
320,302000,311,82908,2.0,327.0,6.4
320,302000,312,82156,2.0,320.6,6.5
320,302000,313,70124,2.0,321.9,5.6
320,302000,314,97008,2.0,326.4,6.6
320,302000,315,64296,2.0,309.8,6.6
320,302000,316,80088,2.0,320.3,6.5
320,302000,317,78208,2.0,333.1,7.8
320,302000,318,80464,2.0,330.8,6.3
320,302000,319,78396,2.0,320.7,6.4
320,302000,320,75576,2.0,314.4,28.3
320,302000,321,80088,2.0,221.8,7.0
320,302000,322,79336,2.0,313.5,5.8
320,302000,323,78208,2.02,324.3,6.5
320,302000,324,80464,2.0,325.6,6.8
320,302000,325,77080,2.0,324.7,6.9
320,302000,326,81028,2.0,314.2,4.9
320,302000,327,68432,2.0,331.1,6.4
320,302000,328,74448,2.0,325.7,6.6
320,302000,329,83284,2.0,331.7,6.4
320,302000,330,84224,2.0,220.9,5.7
320,302000,331,69936,2.0,331.9,7.0
320,302000,332,69936,2.004,427.5,6.6
320,302000,333,69936,2.0,216.6,6.5
320,302000,334,80276,2.0,318.3,5.3
320,302000,335,81404,2.0,322.1,6.6
320,302000,336,77268,2.0,318.1,5.3
320,302000,337,73508,2.0,323.0,6.7
320,302000,338,81216,2.0,326.5,5.7
320,302000,339,79336,2.0,331.1,6.6
720,425000,300,106596,2.044,533.9,5.4
720,425000,301,106972,2.009333,318.8,7.3
720,425000,302,94564,2.0,316.2,6.4
720,425000,303,104152,2.0,316.7,2.4
720,425000,304,117312,2.0,320.4,6.6
720,425000,305,82532,2.0,327.0,6.7
720,425000,306,105468,2.0,326.8,6.6
720,425000,307,100016,2.0,316.4,6.4
720,425000,308,101520,2.0,221.7,4.9
720,425000,309,100956,2.0,330.0,6.6
720,425000,310,99828,2.0,328.9,6.9
720,425000,311,105468,2.0,320.9,5.5
720,425000,312,108476,2.0,332.6,7.2
720,425000,313,87232,2.0,323.2,6.6
720,425000,314,122764,2.0,319.1,6.8
720,425000,315,85352,2.0,322.2,5.0
720,425000,316,100768,2.0,313.2,6.1
720,425000,317,100956,2.0,326.8,7.2
720,425000,318,105280,2.0,330.1,6.9
720,425000,319,102648,2.0,317.9,6.4
720,425000,320,95692,2.0,320.8,6.9
720,425000,321,103588,2.0,215.5,6.9
720,425000,322,105092,2.0,325.4,5.7
720,425000,323,99452,2.0,320.6,7.5
720,425000,324,100956,2.0,316.6,6.3
720,425000,325,100768,2.0,320.7,5.7
720,425000,326,108476,2.0,313.0,6.6
720,425000,327,86104,2.0,216.6,5.1
720,425000,328,95692,2.0,321.8,3.5
720,425000,329,107912,2.0,322.1,6.1
720,425000,330,103776,2.0,326.6,5.1
720,425000,331,88360,2.0,308.6,6.3
720,425000,332,87796,2.0,330.0,4.2
720,425000,333,86104,2.0,219.5,7.0
720,425000,334,102084,2.014666,315.9,4.6
720,425000,335,107536,2.0,222.5,5.8
720,425000,336,101332,2.0,329.1,6.6
720,425000,337,93248,2.0,319.0,5.0
720,425000,338,105468,2.0,315.6,6.7
720,425000,339,100768,2.02,321.2,6.2
4000,3538000,300,692968,2.044,543.3,5.8
4000,3538000,301,576408,2.009333,324.7,9.1
4000,3538000,302,636568,2.0,327.0,8.3
4000,3538000,303,585056,2.0,320.6,7.1
4000,3538000,304,741096,2.0,216.6,5.7
4000,3538000,305,385964,2.0,332.8,7.0
4000,3538000,306,745984,2.0,312.9,6.7
4000,3538000,307,570580,2.0,305.9,6.4
4000,3538000,308,624912,2.0,218.1,6.8
4000,3538000,309,676424,2.0,318.7,6.4
4000,3538000,310,657060,2.0,309.9,5.9
4000,3538000,311,680560,2.0,318.4,6.7
4000,3538000,312,610812,2.0,332.9,6.9
4000,3538000,313,667024,2.0,222.5,6.6
4000,3538000,314,692404,2.0,332.8,7.2
4000,3538000,315,392732,2.0,317.2,6.4
4000,3538000,316,726620,2.0,307.1,7.0
4000,3538000,317,625288,2.0,319.0,7.1
4000,3538000,318,726244,2.0,216.5,7.7
4000,3538000,319,652736,2.0,323.0,6.1
4000,3538000,320,471504,2.0,316.6,5.7
4000,3538000,321,430332,2.0,222.4,7.2
4000,3538000,322,565692,2.0,321.3,7.3
4000,3538000,323,401568,2.0,309.8,5.8
4000,3538000,324,529032,2.0,324.3,7.1
4000,3538000,325,685448,2.0,319.2,6.7
4000,3538000,326,520008,2.0,209.8,7.1
4000,3538000,327,522452,2.0,320.8,6.0
4000,3538000,328,391792,2.0,331.4,7.3
4000,3538000,329,714400,2.0,209.0,6.1
4000,3538000,330,572460,2.0,332.5,7.2
