request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
320,302000,300,82156,2.044,547.5,7.3
320,302000,301,81592,2.0,111.6,3.3
320,302000,302,75388,2.0,421.7,7.4
320,302000,303,79524,2.02,328.8,6.8
320,302000,304,87984,2.0,317.7,7.1
320,302000,305,67680,2.0,315.1,6.7
320,302000,306,81028,2.014666,318.3,4.7
320,302000,307,77644,2.0,332.0,7.4
320,302000,308,78960,2.0,217.6,6.8
320,302000,309,77644,2.009333,322.4,5.5
320,302000,310,77268,2.0,322.7,6.7
320,302000,311,82908,2.0,317.3,7.7
320,302000,312,82156,2.0,421.6,6.8
320,302000,313,70124,2.0,323.4,6.9
320,302000,314,97008,2.0,319.2,7.1
320,302000,315,64296,2.0,318.2,6.9
320,302000,316,80088,2.0,323.1,6.9
320,302000,317,78208,2.0,325.7,2.3
320,302000,318,80464,2.0,324.1,5.0
320,302000,319,78396,2.0,322.2,7.3
320,302000,320,75576,2.0,313.8,7.5
320,302000,321,80088,2.0,317.4,4.4
320,302000,322,79336,2.0,313.7,7.1
320,302000,323,78208,2.02,331.7,7.0
320,302000,324,80464,2.0,218.5,7.0
320,302000,325,77080,2.0,423.3,6.7
320,302000,326,81028,2.0,218.7,2.9
320,302000,327,68432,2.0,429.0,7.3
320,302000,328,74448,2.0,215.6,7.4
320,302000,329,83284,2.0,429.2,6.9
320,302000,330,84224,2.0,216.9,2.6
320,302000,331,69936,2.0,323.0,7.8
320,302000,332,69936,2.004,319.6,6.6
320,302000,333,69936,2.0,313.3,7.0
320,302000,334,80276,2.0,318.7,6.2
320,302000,335,81404,2.0,326.6,6.1
320,302000,336,77268,2.0,329.1,7.3
320,302000,337,73508,2.0,318.1,7.5
320,302000,338,81216,2.0,329.0,7.2
320,302000,339,79336,2.0,315.9,2.7
720,425000,300,106596,2.044,537.7,5.2
720,425000,301,106972,2.009333,318.8,7.0
720,425000,302,94564,2.0,322.6,7.2
720,425000,303,104152,2.0,318.3,6.1
720,425000,304,117312,2.0,324.9,7.4
720,425000,305,82532,2.0,321.8,5.9
720,425000,306,105468,2.0,215.7,3.4
720,425000,307,100016,2.0,321.6,5.9
720,425000,308,101520,2.0,328.9,6.6
720,425000,309,100956,2.0,326.7,7.0
720,425000,310,99828,2.0,318.2,6.1
720,425000,311,105468,2.0,329.5,7.2
720,425000,312,108476,2.0,332.0,6.4
720,425000,313,87232,2.0,328.4,6.9
720,425000,314,122764,2.0,316.2,6.9
720,425000,315,85352,2.0,325.4,2.4
720,425000,316,100768,2.0,327.0,7.2
720,425000,317,100956,2.0,325.8,6.9
720,425000,318,105280,2.0,309.5,7.2
720,425000,319,102648,2.0,216.9,7.3
720,425000,320,95692,2.0,326.3,7.1
720,425000,321,103588,2.0,312.6,7.4
720,425000,322,105092,2.0,315.0,6.7
720,425000,323,99452,2.0,319.0,7.4
720,425000,324,100956,2.0,318.2,7.1
720,425000,325,100768,2.0,313.5,6.8
720,425000,326,108476,2.0,218.8,7.8
720,425000,327,86104,2.0,321.0,6.9
720,425000,328,95692,2.0,326.5,7.1
720,425000,329,107912,2.0,329.8,7.2
720,425000,330,103776,2.0,325.6,7.3
720,425000,331,88360,2.0,222.5,5.2
720,425000,332,87796,2.0,314.3,6.3
720,425000,333,86104,2.0,325.4,7.3
720,425000,334,102084,2.014666,214.2,6.8
720,425000,335,107536,2.0,310.6,7.3
720,425000,336,101332,2.0,327.1,5.9
720,425000,337,93248,2.0,221.1,7.0
720,425000,338,105468,2.0,310.8,6.7
720,425000,339,100768,2.02,322.9,6.2
2000,1459000,300,311140,2.048,553.0,5.1
2000,1459000,301,277112,2.0,318.3,6.8
2000,1459000,302,302680,2.0,320.6,1.8
2000,1459000,303,302680,2.0,326.4,6.3
2000,1459000,304,334640,2.0,324.0,5.9
2000,1459000,305,216576,2.0,328.5,6.8
2000,1459000,306,328248,2.0,322.7,7.3
2000,1459000,307,288392,2.0,220.1,6.4
2000,1459000,308,290648,2.0,320.6,7.2
2000,1459000,309,294784,2.0,317.5,6.9
2000,1459000,310,283880,2.014666,318.8,6.6
2000,1459000,311,319036,2.02,311.0,7.6
2000,1459000,312,274480,2.0,319.2,6.6
2000,1459000,313,298356,2.0,327.6,7.3
2000,1459000,314,312080,2.0,318.8,7.7
2000,1459000,315,225976,2.0,217.9,7.8
2000,1459000,316,320540,2.0,322.9,7.3
2000,1459000,317,292716,2.0,323.4,3.7
2000,1459000,318,310952,2.0,316.3,6.3
2000,1459000,319,297040,2.0,328.6,6.6
2000,1459000,320,242708,2.0,324.2,7.4
2000,1459000,321,247784,2.0,214.7,7.5
2000,1459000,322,289144,2.0,332.7,6.7
2000,1459000,323,232368,2.0,311.8,7.5
2000,1459000,324,288204,2.0,322.0,6.6
2000,1459000,325,313020,2.0,331.6,6.3
2000,1459000,326,294408,2.0,222.9,7.2
2000,1459000,327,259440,2.0,320.3,6.5
2000,1459000,328,215824,2.0,322.5,6.1
2000,1459000,329,329752,2.0,333.3,7.6
2000,1459000,330,282752,2.0,221.2,8.3
2000,1459000,331,208492,2.0,326.7,7.1
2000,1459000,332,193452,2.004,314.8,5.9
2000,1459000,333,213192,2.0,213.0,6.0
2000,1459000,334,242520,2.0,218.6,7.7
2000,1459000,335,293092,2.0,323.2,5.4
2000,1459000,336,293280,2.0,316.9,6.3
2000,1459000,337,232932,2.0,319.1,7.1
2000,1459000,338,313208,2.0,327.4,7.2
2000,1459000,339,280308,2.02,207.7,7.1
4000,3538000,300,692968,2.044,545.2,4.9
4000,3538000,301,576408,2.009333,322.7,7.4
4000,3538000,302,636568,2.0,313.1,7.0
4000,3538000,303,585056,2.0,219.9,7.2
4000,3538000,304,741096,2.0,314.6,8.3
4000,3538000,305,385964,2.0,330.5,6.9
4000,3538000,306,745984,2.0,318.8,6.5
4000,3538000,307,570580,2.0,220.6,7.4
4000,3538000,308,624912,2.0,322.1,6.3
4000,3538000,309,676424,2.0,317.7,7.6
4000,3538000,310,657060,2.0,318.5,7.4
4000,3538000,311,680560,2.0,222.3,8.1
4000,3538000,312,610812,2.0,422.8,7.6
4000,3538000,313,667024,2.0,322.3,7.1
4000,3538000,314,692404,2.0,207.9,5.9
