request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
320,303000,1200,84976,2.044,653.1,7.4
320,303000,1201,74824,2.0,216.1,6.1
320,303000,1202,81592,2.0,211.3,6.9
320,303000,1203,79712,2.0,325.2,5.0
320,303000,1204,78396,2.004,327.7,6.5
320,303000,1205,79712,2.0,319.5,4.3
320,303000,1206,80464,2.0,320.4,4.5
320,303000,1207,80652,2.0,213.1,6.2
320,303000,1208,79712,2.0,317.6,6.1
320,303000,1209,80276,2.0,223.0,6.0
320,303000,1210,80652,2.0,326.1,7.1
320,303000,1211,77644,2.0,317.1,6.0
320,303000,1212,79524,2.0,217.5,6.6
320,303000,1213,79900,2.0,318.1,55.0
320,303000,1214,80276,2.0,103.1,4.2
320,303000,1215,79900,2.0,203.4,6.5
320,303000,1216,79712,2.0,112.0,6.0
320,303000,1217,78772,2.0,324.1,5.4
320,303000,1218,80276,2.0,313.0,6.9
320,303000,1219,79148,2.0,205.7,6.2
320,303000,1220,78960,2.0,312.3,5.8
320,303000,1221,83096,2.0,222.0,6.4
320,303000,1222,70688,2.0,320.3,7.0
320,303000,1223,76516,2.02,325.2,4.9
320,303000,1224,77456,2.0,217.3,7.3
320,303000,1225,80276,2.0,325.4,7.0
320,303000,1226,83284,2.0,322.0,7.0
320,303000,1227,75576,2.0,219.1,5.7
320,303000,1228,80652,2.0,206.7,6.3
320,303000,1229,79900,2.0,320.9,6.9
320,303000,1230,78960,2.0,326.8,5.9
320,303000,1231,86856,2.02,214.3,5.4
320,303000,1232,74636,2.0,218.8,5.3
320,303000,1233,77832,2.0,320.9,4.4
320,303000,1234,80276,2.0,313.9,4.8
320,303000,1235,79712,2.0,213.0,6.5
320,303000,1236,80088,2.0,309.1,6.5
320,303000,1237,79524,2.0,326.6,6.4
320,303000,1238,80276,2.0,214.2,5.6
320,303000,1239,82720,2.0,326.0,5.8
720,547000,1200,133104,2.044,646.0,5.2
720,547000,1201,119568,2.0,212.3,7.5
720,547000,1202,129344,2.0,314.7,5.7
720,547000,1203,127652,2.0,329.4,6.7
720,547000,1204,121636,2.0,222.7,7.3
720,547000,1205,129156,2.0,332.8,5.7
720,547000,1206,128028,2.0,320.0,6.6
720,547000,1207,127088,2.0,316.0,5.1
720,547000,1208,125584,2.0,217.0,5.6
720,547000,1209,126900,2.0,311.1,6.5
720,547000,1210,127840,2.0,321.9,6.8
720,547000,1211,124268,2.0,316.1,6.6
720,547000,1212,126524,2.0,324.0,5.8
720,547000,1213,125208,2.0,216.1,7.0
720,547000,1214,126148,2.0,319.0,6.9
720,547000,1215,119192,2.0,319.1,6.8
720,547000,1216,131412,2.0,325.5,7.4
720,547000,1217,123516,2.0,221.8,6.7
720,547000,1218,126712,2.0,315.0,6.9
720,547000,1219,127088,2.0,324.3,5.7
720,547000,1220,127276,2.004,323.7,2.1
720,547000,1221,127276,2.0,313.5,6.7
720,547000,1222,105280,2.0,223.1,5.0
720,547000,1223,112236,2.0,320.4,6.2
720,547000,1224,117124,2.0,333.2,6.9
720,547000,1225,120132,2.0,330.5,7.0
720,547000,1226,124832,2.0,213.0,1.8
720,547000,1227,128592,2.0,321.0,6.4
720,547000,1228,129344,2.0,316.7,6.9
720,547000,1229,126900,2.0,222.0,7.3
720,547000,1230,126524,2.0,320.9,5.7
720,547000,1231,128404,2.0,323.1,4.3
720,547000,1232,124080,2.0,328.1,7.2
720,547000,1233,122576,2.009333,316.6,5.4
720,547000,1234,127840,2.0,223.0,7.0
720,547000,1235,127088,2.0,315.7,6.6
720,547000,1236,127464,2.0,329.0,6.6
720,547000,1237,124832,2.0,325.5,5.6
720,547000,1238,126900,2.0,218.0,7.2
720,547000,1239,131600,2.0,326.2,6.5
2000,1830000,1200,355696,2.044,644.0,5.8
2000,1830000,1201,371488,2.009333,219.2,7.6
2000,1830000,1202,354004,2.0,213.7,5.1
2000,1830000,1203,379384,2.0,321.0,6.5
2000,1830000,1204,348552,2.0,326.0,6.8
2000,1830000,1205,371300,2.0,212.4,6.5
2000,1830000,1206,366600,2.014666,329.4,6.5
2000,1830000,1207,368856,2.0,325.2,6.0
2000,1830000,1208,361148,2.004,209.3,6.1
2000,1830000,1209,362652,2.0,327.6,5.8
2000,1830000,1210,366036,2.0,218.5,6.6
2000,1830000,1211,359080,2.0,318.4,5.8
2000,1830000,1212,355696,2.004,214.9,6.9
2000,1830000,1213,314900,2.009333,326.7,5.7
2000,1830000,1214,378820,2.0,310.8,5.1
2000,1830000,1215,244212,2.02,112.4,7.0
2000,1830000,1216,385400,2.0,325.1,6.3
2000,1830000,1217,343288,2.009333,219.5,6.4
2000,1830000,1218,367916,2.0,312.9,6.3
2000,1830000,1219,368104,2.0,322.2,6.8
2000,1830000,1220,362276,2.0,209.9,5.8
2000,1830000,1221,305500,2.0,317.9,6.8
2000,1830000,1222,255680,2.014666,213.4,5.8
2000,1830000,1223,347800,2.0,332.8,5.5
2000,1830000,1224,361336,2.004,323.1,7.3
2000,1830000,1225,250416,2.0,219.3,6.3
2000,1830000,1226,316780,2.0,319.8,7.4
2000,1830000,1227,377692,2.0,213.7,6.1
2000,1830000,1228,335768,2.004,319.0,6.2
2000,1830000,1229,359832,2.0,207.9,6.7
2000,1830000,1230,253424,2.0,323.9,7.1
2000,1830000,1231,345168,2.02,207.2,6.9
2000,1830000,1232,365472,2.0,320.2,4.2
2000,1830000,1233,347424,2.009333,322.1,5.8
2000,1830000,1234,343476,2.0,319.2,7.5
2000,1830000,1235,362840,2.0,213.8,6.6
2000,1830000,1236,328812,2.0,314.5,7.1
2000,1830000,1237,310764,2.009333,323.0,6.3
2000,1830000,1238,361148,2.0,210.3,6.6
2000,1830000,1239,378820,2.02,320.1,7.0
4000,3775000,1200,601224,2.044,646.1,4.9
4000,3775000,1201,761776,2.0,110.6,6.2
4000,3775000,1202,752752,2.0,309.1,4.7
4000,3775000,1203,735080,2.02,219.2,6.0
4000,3775000,1204,699736,2.004,220.5,6.7
4000,3775000,1205,751812,2.0,325.5,6.9
4000,3775000,1206,732260,2.0,213.3,5.9
4000,3775000,1207,745420,2.02,320.9,6.0
4000,3775000,1208,724364,2.004,215.1,5.7
4000,3775000,1209,733388,2.0,331.5,5.7
4000,3775000,1210,738276,2.0,218.0,6.3
4000,3775000,1211,705940,2.0,211.3,5.8
4000,3775000,1212,690900,2.004,309.9,6.1
4000,3775000,1213,520948,2.009333,211.9,5.8
4000,3775000,1214,788096,2.0,324.0,5.6
4000,3775000,1215,527340,2.02,218.9,5.5
4000,3775000,1216,750496,2.004,208.8,5.3
4000,3775000,1217,688456,2.0,311.7,5.8
4000,3775000,1218,692404,2.014666,220.6,6.4
4000,3775000,1219,763468,2.0,315.5,4.6
4000,3775000,1220,731508,2.004,214.0,6.1
4000,3775000,1221,717784,2.0,319.2,5.7
4000,3775000,1222,583176,2.0,214.9,6.2
4000,3775000,1223,738840,2.02,330.9,6.6
4000,3775000,1224,725868,2.004,316.9,6.4
4000,3775000,1225,526400,2.0,213.0,6.1
4000,3775000,1226,670220,2.0,218.5,18.2
4000,3775000,1227,769860,2.0,222.0,6.2
