request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
320,303000,0,55648,2.044,317.8,7.5
320,303000,1,55648,2.0,211.4,7.2
320,303000,2,67492,2.0,210.0,6.8
320,303000,3,79336,2.0,328.4,7.0
320,303000,4,80840,2.0,332.4,6.8
320,303000,5,66364,2.0,325.8,5.5
320,303000,6,80276,2.0,215.1,5.1
320,303000,7,79900,2.0,329.6,6.6
320,303000,8,79336,2.0,325.1,6.6
320,303000,9,78584,2.0,325.5,7.3
320,303000,10,80276,2.014666,325.2,6.5
320,303000,11,79148,2.0,325.3,7.4
320,303000,12,69184,2.0,223.1,6.0
320,303000,13,59220,2.0,212.7,5.9
320,303000,14,54332,2.0,326.5,6.0
320,303000,15,51512,2.0,223.0,6.7
320,303000,16,58468,2.0,323.7,6.1
320,303000,17,64484,2.0,219.1,6.9
320,303000,18,81404,2.0,319.9,5.5
320,303000,19,70124,2.0,206.5,5.9
320,303000,20,67868,2.0,333.3,6.6
320,303000,21,81216,2.0,330.6,6.2
320,303000,22,78020,2.0,320.7,6.4
320,303000,23,69560,2.0,323.2,5.9
320,303000,24,56024,2.0,209.8,7.3
320,303000,25,52452,2.0,310.4,5.5
320,303000,26,52452,2.0,217.0,5.5
320,303000,27,55084,2.0,322.7,6.9
320,303000,28,51324,2.0,216.3,6.6
320,303000,29,52452,2.0,217.2,6.4
320,303000,30,52076,2.0,310.1,6.7
320,303000,31,52264,2.0,216.2,6.0
320,303000,32,50760,2.0,214.7,6.7
320,303000,33,53392,2.0,323.4,6.4
320,303000,34,53204,2.0,217.2,6.0
320,303000,35,53392,2.0,213.4,5.2
320,303000,36,56024,2.0,320.9,4.3
320,303000,37,74824,2.0,218.2,6.3
320,303000,38,77644,2.0,333.0,6.0
320,303000,39,75200,2.0,213.8,7.1
720,547000,0,66176,2.044,327.7,6.4
720,547000,1,65988,2.0,107.6,6.5
720,547000,2,102648,2.0,329.6,7.1
720,547000,3,119944,2.0,325.7,7.1
