abr: sample current=20000kbps media=18456kbps net=111157kbps buf=2000ms vbuf=2000ms abuf=2005ms dur=2000ms prod=315pm n=2 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102258kbps buf=4000ms vbuf=4000ms abuf=4005ms dur=2000ms prod=313pm n=3 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=103035kbps buf=5460ms vbuf=5460ms abuf=5465ms dur=2000ms prod=317pm n=4 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102540kbps buf=5460ms vbuf=5460ms abuf=5465ms dur=2000ms prod=321pm n=5 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=103517kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=321pm n=6 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102526kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=319pm n=7 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102324kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=316pm n=8 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102456kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=317pm n=9 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=105688kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=323pm n=10 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=108778kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=321pm n=11 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=110009kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=318pm n=12 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=108204kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=316pm n=13 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=109050kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=323pm n=14 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=104453kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=318pm n=15 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102528kbps buf=5418ms vbuf=5418ms abuf=5423ms dur=2000ms prod=322pm n=16 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=103463kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=327pm n=17 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102779kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=319pm n=18 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102611kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=319pm n=19 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102951kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=326pm n=20 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102739kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=320pm n=21 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=104986kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=318pm n=22 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=109192kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=320pm n=23 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=108853kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=317pm n=24 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=104528kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=321pm n=25 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102285kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=319pm n=26 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102984kbps buf=5376ms vbuf=5376ms abuf=5381ms dur=2000ms prod=320pm n=27 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102766kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=321pm n=28 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=103030kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=323pm n=29 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102390kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=327pm n=30 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=103095kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=316pm n=31 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=105954kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=317pm n=32 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102380kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=323pm n=33 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=108718kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=321pm n=34 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=108383kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=318pm n=35 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=106733kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=326pm n=36 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=103259kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=329pm n=37 decision=stay target=0kbps reason=None
abr: sample current=20000kbps media=18456kbps net=102729kbps buf=5335ms vbuf=5335ms abuf=5340ms dur=2000ms prod=318pm n=38 decision=stay target=0kbps reason=None
